run,model,display_model,prompt,view,metric,value
glm5-CoT,glm-5,GLM-5,CoT,scheduled,answerable_non_refusal_rate,0.93
glm5-CoT,glm-5,GLM-5,CoT,scheduled,false_refusal_rate,0.07
glm5-CoT,glm-5,GLM-5,CoT,scheduled,overall_template_decision_accuracy,0.934
glm5-CoT,glm-5,GLM-5,CoT,valid_only,unanswerable_recognition_rate,0.95
glm5-CoT,glm-5,GLM-5,CoT,valid_only,answerable_non_refusal_rate,0.93
glm5-CoT,glm-5,GLM-5,CoT,valid_only,false_refusal_rate,0.07
glm5-CoT,glm-5,GLM-5,CoT,valid_only,overall_template_decision_accuracy,0.934
qwen3-8b-base,qwen3-8b,Qwen3-8B,Base,scheduled,unanswerable_recognition_rate,0.96
qwen3-8b-base,qwen3-8b,Qwen3-8B,Base,scheduled,answerable_non_refusal_rate,0.9575
qwen3-8b-base,qwen3-8b,Qwen3-8B,Base,scheduled,false_refusal_rate,0.0425
qwen3-8b-base,qwen3-8b,Qwen3-8B,Base,scheduled,overall_template_decision_accuracy,0.958
qwen3-8b-base,qwen3-8b,Qwen3-8B,Base,valid_only,unanswerable_recognition_rate,0.96
qwen3-8b-base,qwen3-8b,Qwen3-8B,Base,valid_only,answerable_non_refusal_rate,0.9575
qwen3-8b-base,qwen3-8b,Qwen3-8B,Base,valid_only,false_refusal_rate,0.0425
qwen3-8b-base,qwen3-8b,Qwen3-8B,Base,valid_only,overall_template_decision_accuracy,0.958
qwen-8b-CoT,qwen3-8b,Qwen3-8B,CoT,scheduled,unanswerable_recognition_rate,0.98
qwen-8b-CoT,qwen3-8b,Qwen3-8B,CoT,scheduled,answerable_non_refusal_rate,0.945
qwen-8b-CoT,qwen3-8b,Qwen3-8B,CoT,scheduled,false_refusal_rate,0.055
qwen-8b-CoT,qwen3-8b,Qwen3-8B,CoT,scheduled,overall_template_decision_accuracy,0.952
qwen-8b-CoT,qwen3-8b,Qwen3-8B,CoT,valid_only,unanswerable_recognition_rate,0.98
qwen-8b-CoT,qwen3-8b,Qwen3-8B,CoT,valid_only,answerable_non_refusal_rate,0.945
qwen-8b-CoT,qwen3-8b,Qwen3-8B,CoT,valid_only,false_refusal_rate,0.055
qwen-8b-CoT,qwen3-8b,Qwen3-8B,CoT,valid_only,overall_template_decision_accuracy,0.952
4o-mini-base,gpt-4o-mini,GPT-4o-mini,Base,scheduled_confusion,answerable__answer,315
4o-mini-base,gpt-4o-mini,GPT-4o-mini,Base,scheduled_confusion,answerable__refuse,85
4o-mini-base,gpt-4o-mini,GPT-4o-mini,Base,scheduled_confusion,answerable__failed,0
4o-mini-base,gpt-4o-mini,GPT-4o-mini,Base,scheduled_confusion,unanswerable__answer,2
4o-mini-base,gpt-4o-mini,GPT-4o-mini,Base,scheduled_confusion,unanswerable__refuse,98
4o-mini-base,gpt-4o-mini,GPT-4o-mini,Base,scheduled_confusion,unanswerable__failed,0
4o-mini-CoT,gpt-4o-mini,GPT-4o-mini,CoT,scheduled_confusion,answerable__answer,322
4o-mini-CoT,gpt-4o-mini,GPT-4o-mini,CoT,scheduled_confusion,answerable__refuse,78
4o-mini-CoT,gpt-4o-mini,GPT-4o-mini,CoT,scheduled_confusion,answerable__failed,0
4o-mini-CoT,gpt-4o-mini,GPT-4o-mini,CoT,scheduled_confusion,unanswerable__answer,2
4o-mini-CoT,gpt-4o-mini,GPT-4o-mini,CoT,scheduled_confusion,unanswerable__refuse,98
4o-mini-CoT,gpt-4o-mini,GPT-4o-mini,CoT,scheduled_confusion,unanswerable__failed,0
deepseekv3.1-thinking-base,deepseek-v3.1-thinking,DeepSeek-V3.1-Thinking,Base,scheduled_confusion,answerable__answer,360
deepseekv3.1-thinking-base,deepseek-v3.1-thinking,DeepSeek-V3.1-Thinking,Base,scheduled_confusion,answerable__refuse,40
deepseekv3.1-thinking-base,deepseek-v3.1-thinking,DeepSeek-V3.1-Thinking,Base,scheduled_confusion,answerable__failed,0
deepseekv3.1-thinking-base,deepseek-v3.1-thinking,DeepSeek-V3.1-Thinking,Base,scheduled_confusion,unanswerable__answer,0
deepseekv3.1-thinking-base,deepseek-v3.1-thinking,DeepSeek-V3.1-Thinking,Base,scheduled_confusion,unanswerable__refuse,100
deepseekv3.1-thinking-base,deepseek-v3.1-thinking,DeepSeek-V3.1-Thinking,Base,scheduled_confusion,unanswerable__failed,0
deepseekv3.1-thinking-CoT,deepseek-v3.1-thinking,DeepSeek-V3.1-Thinking,CoT,scheduled_confusion,answerable__answer,361
deepseekv3.1-thinking-CoT,deepseek-v3.1-thinking,DeepSeek-V3.1-Thinking,CoT,scheduled_confusion,answerable__refuse,39
deepseekv3.1-thinking-CoT,deepseek-v3.1-thinking,DeepSeek-V3.1-Thinking,CoT,scheduled_confusion,answerable__failed,0
deepseekv3.1-thinking-CoT,deepseek-v3.1-thinking,DeepSeek-V3.1-Thinking,CoT,scheduled_confusion,unanswerable__answer,0
deepseekv3.1-thinking-CoT,deepseek-v3.1-thinking,DeepSeek-V3.1-Thinking,CoT,scheduled_confusion,unanswerable__refuse,100
deepseekv3.1-thinking-CoT,deepseek-v3.1-thinking,DeepSeek-V3.1-Thinking,CoT,scheduled_confusion,unanswerable__failed,0
glm5-base,glm-5,GLM-5,Base,scheduled_confusion,answerable__answer,361
glm5-base,glm-5,GLM-5,Base,scheduled_confusion,answerable__refuse,39
glm5-base,glm-5,GLM-5,Base,scheduled_confusion,answerable__failed,0
glm5-base,glm-5,GLM-5,Base,scheduled_confusion,unanswerable__answer,2
glm5-base,glm-5,GLM-5,Base,scheduled_confusion,unanswerable__refuse,98
glm5-base,glm-5,GLM-5,Base,scheduled_confusion,unanswerable__failed,0
glm5-CoT,glm-5,GLM-5,CoT,scheduled_confusion,answerable__answer,372
glm5-CoT,glm-5,GLM-5,CoT,scheduled_confusion,answerable__refuse,28
glm5-CoT,glm-5,GLM-5,CoT,scheduled_confusion,answerable__failed,0
glm5-CoT,glm-5,GLM-5,CoT,scheduled_confusion,unanswerable__answer,5
glm5-CoT,glm-5,GLM-5,CoT,scheduled_confusion,unanswerable__refuse,95
glm5-CoT,glm-5,GLM-5,CoT,scheduled_confusion,unanswerable__failed,0
qwen3-8b-base,qwen3-8b,Qwen3-8B,Base,scheduled_confusion,answerable__answer,383
qwen3-8b-base,qwen3-8b,Qwen3-8B,Base,scheduled_confusion,answerable__refuse,17
qwen3-8b-base,qwen3-8b,Qwen3-8B,Base,scheduled_confusion,answerable__failed,0
qwen3-8b-base,qwen3-8b,Qwen3-8B,Base,scheduled_confusion,unanswerable__answer,4
qwen3-8b-base,qwen3-8b,Qwen3-8B,Base,scheduled_confusion,unanswerable__refuse,96
qwen3-8b-base,qwen3-8b,Qwen3-8B,Base,scheduled_confusion,unanswerable__failed,0
qwen-8b-CoT,qwen3-8b,Qwen3-8B,CoT,scheduled_confusion,answerable__answer,378
qwen-8b-CoT,qwen3-8b,Qwen3-8B,CoT,scheduled_confusion,answerable__refuse,22
qwen-8b-CoT,qwen3-8b,Qwen3-8B,CoT,scheduled_confusion,answerable__failed,0
qwen-8b-CoT,qwen3-8b,Qwen3-8B,CoT,scheduled_confusion,unanswerable__answer,2
qwen-8b-CoT,qwen3-8b,Qwen3-8B,CoT,scheduled_confusion,unanswerable__refuse,98
qwen-8b-CoT,qwen3-8b,Qwen3-8B,CoT,scheduled_confusion,unanswerable__failed,0
