model,qa_id,category,difficulty,answer_type,base_context_recall,cot_context_recall,base_exact_match,cot_exact_match,delta_exact_match,base_token_f1,cot_token_f1,delta_token_f1,base_rouge_l,cot_rouge_l,delta_rouge_l
gpt-4o-mini,vlrag-0a5d60abe1,single_hop,easy,boolean,0.0,0.0,1.0,1.0,0.0,0.05405405405405406,0.05405405405405406,0.0,0.05405405405405406,0.05405405405405406,0.0
gpt-4o-mini,vlrag-0a91b4365a,citation,easy,abstractive,0.0,0.0,0.0,0.0,0.0,0.6371681415929203,0.6371681415929203,0.0,0.4601769911504424,0.4601769911504424,0.0
gpt-4o-mini,vlrag-0cc7e882be,citation,easy,abstractive,0.0,0.0,0.0,0.0,0.0,0.5411764705882354,0.47916666666666674,-0.06200980392156863,0.4705882352941177,0.41666666666666663,-0.053921568627451066
gpt-4o-mini,vlrag-0dd965b6f2,single_hop,easy,abstractive,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.047619047619047616,0.0,0.047619047619047616,0.047619047619047616,0.0
gpt-4o-mini,vlrag-0df5ad203a,single_hop,medium,abstractive,0.0,0.0,0.0,0.0,0.0,0.14285714285714288,0.14285714285714288,0.0,0.14285714285714288,0.14285714285714288,0.0
gpt-4o-mini,vlrag-0e5fa2bcda,legal_validity,easy,boolean,1.0,1.0,1.0,1.0,0.0,0.03773584905660378,0.03773584905660378,0.0,0.03773584905660378,0.03773584905660378,0.0
gpt-4o-mini,vlrag-0f687acfc1,legal_validity,easy,boolean,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-4o-mini,vlrag-0fa555b61c,single_hop,easy,extractive,1.0,1.0,0.0,0.0,0.0,0.38095238095238104,0.38095238095238104,0.0,0.38095238095238104,0.38095238095238104,0.0
gpt-4o-mini,vlrag-101ea5d879,single_hop,easy,abstractive,0.0,0.0,0.0,0.0,0.0,0.41904761904761906,0.23188405797101452,-0.18716356107660453,0.3238095238095238,0.18357487922705315,-0.14023464458247067
gpt-4o-mini,vlrag-10b37bc357,multi_hop,medium,boolean,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-4o-mini,vlrag-10c803c6f0,single_hop,easy,abstractive,1.0,1.0,0.0,0.0,0.0,0.3125,0.3125,0.0,0.3125,0.3125,0.0
gpt-4o-mini,vlrag-1208dacdd4,cross_document,medium,abstractive,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.043478260869565216,0.0,0.043478260869565216,0.043478260869565216,0.0
gpt-4o-mini,vlrag-12ca1c3d2c,multi_hop,medium,abstractive,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.4736842105263158,0.4736842105263158,0.0,0.368421052631579,0.368421052631579,0.0
gpt-4o-mini,vlrag-146fd3ad63,legal_validity,medium,boolean,1.0,1.0,0.0,0.0,0.0,0.16666666666666669,0.16666666666666669,0.0,0.16666666666666669,0.16666666666666669,0.0
gpt-4o-mini,vlrag-14bb215758,single_hop,easy,boolean,0.0,0.0,0.0,0.0,0.0,0.16666666666666669,0.16666666666666669,0.0,0.16666666666666669,0.16666666666666669,0.0
gpt-4o-mini,vlrag-150e88a994,citation,easy,boolean,0.0,0.0,1.0,1.0,0.0,0.0689655172413793,0.05128205128205127,-0.017683465959328022,0.0689655172413793,0.05128205128205127,-0.017683465959328022
gpt-4o-mini,vlrag-156fed47ff,citation,easy,abstractive,1.0,1.0,0.0,0.0,0.0,0.21052631578947367,0.11363636363636363,-0.09688995215311004,0.13157894736842105,0.11363636363636363,-0.017942583732057413
gpt-4o-mini,vlrag-1611531bcb,single_hop,easy,extractive,1.0,1.0,0.0,0.0,0.0,0.2448979591836735,0.23999999999999996,-0.004897959183673528,0.2448979591836735,0.23999999999999996,-0.004897959183673528
gpt-4o-mini,vlrag-16c9d79880,citation,easy,abstractive,0.0,0.0,0.0,0.0,0.0,0.29032258064516125,0.3142857142857143,0.023963133640553025,0.1935483870967742,0.2,0.006451612903225823
gpt-4o-mini,vlrag-16f889c632,single_hop,easy,abstractive,1.0,1.0,0.0,0.0,0.0,0.6981132075471698,0.6915887850467289,-0.00652442250044083,0.6037735849056605,0.5981308411214953,-0.005642743784165183
gpt-4o-mini,vlrag-1744d778b4,single_hop,medium,extractive,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.05263157894736842,0.0,0.05263157894736842,0.05263157894736842,0.0
gpt-4o-mini,vlrag-18eb58e061,citation,easy,abstractive,0.0,0.0,0.0,0.0,0.0,0.4731182795698924,0.32835820895522383,-0.14476007061466856,0.45161290322580644,0.3134328358208955,-0.13818006740491096
gpt-4o-mini,vlrag-19aca15ec5,citation,easy,extractive,1.0,1.0,0.0,0.0,0.0,0.14705882352941177,0.14705882352941177,0.0,0.08823529411764705,0.08823529411764705,0.0
gpt-4o-mini,vlrag-1a404bc765,citation,medium,abstractive,0.0,0.0,0.0,0.0,0.0,0.11320754716981134,0.14754098360655737,0.03433343643674604,0.09433962264150943,0.0983606557377049,0.0040210330961954754
gpt-4o-mini,vlrag-1a9ac107d9,single_hop,easy,abstractive,0.0,0.0,0.0,0.0,0.0,0.5555555555555555,0.5555555555555555,0.0,0.4666666666666667,0.4666666666666667,0.0
gpt-4o-mini,vlrag-1ab2c94d5e,single_hop,easy,boolean,0.0,0.0,1.0,1.0,0.0,0.04347826086956522,0.05,0.00652173913043478,0.04347826086956522,0.05,0.00652173913043478
gpt-4o-mini,vlrag-1cd778e04c,single_hop,easy,boolean,1.0,1.0,1.0,1.0,0.0,0.0625,0.05,-0.012499999999999997,0.0625,0.05,-0.012499999999999997
gpt-4o-mini,vlrag-1cf85aa067,citation,easy,abstractive,0.0,0.0,0.0,0.0,0.0,0.08547008547008546,0.10204081632653061,0.016570730856445157,0.06837606837606837,0.061224489795918366,-0.007151578580150003
gpt-4o-mini,vlrag-1ee02f6238,citation,easy,abstractive,0.0,0.0,0.0,0.0,0.0,0.4742268041237113,0.4742268041237113,0.0,0.4536082474226804,0.4536082474226804,0.0
gpt-4o-mini,vlrag-1ee499dc19,citation,medium,extractive,0.0,0.0,0.0,0.0,0.0,0.46927374301675984,0.46739130434782616,-0.0018824386689336725,0.446927374301676,0.4456521739130435,-0.0012752003886324914
gpt-4o-mini,vlrag-20e27c6df0,citation,easy,extractive,1.0,1.0,0.0,0.0,0.0,0.23188405797101444,0.20253164556962025,-0.02935241240139419,0.23188405797101444,0.20253164556962025,-0.02935241240139419
gpt-4o-mini,vlrag-2207557158,single_hop,easy,extractive,1.0,1.0,0.0,0.0,0.0,0.3888888888888889,0.24137931034482762,-0.14750957854406127,0.3888888888888889,0.24137931034482762,-0.14750957854406127
gpt-4o-mini,vlrag-221cb15408,single_hop,easy,boolean,0.0,0.0,0.0,0.0,0.0,0.16666666666666669,0.16666666666666669,0.0,0.16666666666666669,0.16666666666666669,0.0
gpt-4o-mini,vlrag-22c5303380,citation,easy,extractive,1.0,1.0,0.0,0.0,0.0,0.1129032258064516,0.13861386138613863,0.02571063557968703,0.06451612903225806,0.13861386138613863,0.07409773235388056
gpt-4o-mini,vlrag-22e2153335,legal_validity,easy,abstractive,0.0,0.0,0.0,0.0,0.0,0.37209302325581395,0.2622950819672131,-0.10979794128860088,0.37209302325581395,0.2622950819672131,-0.10979794128860088
gpt-4o-mini,vlrag-23b94f2021,single_hop,easy,boolean,0.0,0.0,1.0,1.0,0.0,0.03571428571428572,0.03571428571428572,0.0,0.03571428571428572,0.03571428571428572,0.0
gpt-4o-mini,vlrag-242b2448d9,citation,easy,extractive,1.0,1.0,0.0,0.0,0.0,0.10256410256410256,0.08163265306122448,-0.020931449502878077,0.10256410256410256,0.08163265306122448,-0.020931449502878077
gpt-4o-mini,vlrag-247851e4d3,single_hop,medium,abstractive,0.0,0.0,0.0,0.0,0.0,0.11594202898550723,0.08695652173913043,-0.0289855072463768,0.11594202898550723,0.08695652173913043,-0.0289855072463768
gpt-4o-mini,vlrag-2489431fbb,citation,easy,boolean,0.0,0.0,1.0,1.0,0.0,0.04347826086956522,0.04166666666666667,-0.0018115942028985518,0.04347826086956522,0.04166666666666667,-0.0018115942028985518
gpt-4o-mini,vlrag-2507cdae37,single_hop,easy,extractive,0.0,0.0,0.0,0.0,0.0,0.3007518796992481,0.3007518796992481,0.0,0.18045112781954886,0.18045112781954886,0.0
gpt-4o-mini,vlrag-251ae43238,citation,easy,abstractive,0.0,0.0,0.0,0.0,0.0,0.8059701492537314,0.8059701492537314,0.0,0.8059701492537314,0.8059701492537314,0.0
gpt-4o-mini,vlrag-26cf0a6dc9,single_hop,medium,boolean,0.0,0.0,1.0,1.0,0.0,0.05555555555555556,0.0625,0.006944444444444441,0.05555555555555556,0.0625,0.006944444444444441
gpt-4o-mini,vlrag-2b5a595a2e,single_hop,easy,extractive,0.0,0.0,0.0,0.0,0.0,0.12903225806451615,0.19444444444444448,0.06541218637992832,0.12903225806451615,0.16666666666666666,0.037634408602150504
gpt-4o-mini,vlrag-2c4a964f3a,citation,easy,abstractive,0.0,0.0,0.0,0.0,0.0,0.5681818181818182,0.5348837209302325,-0.03329809725158572,0.5,0.46511627906976744,-0.034883720930232565
gpt-4o-mini,vlrag-2d0a3eb6d9,single_hop,easy,extractive,1.0,1.0,0.0,0.0,0.0,0.1212121212121212,0.08333333333333334,-0.03787878787878786,0.1212121212121212,0.08333333333333334,-0.03787878787878786
gpt-4o-mini,vlrag-2d3ddbe901,single_hop,easy,boolean,1.0,1.0,1.0,1.0,0.0,0.039999999999999994,0.039999999999999994,0.0,0.039999999999999994,0.039999999999999994,0.0
gpt-4o-mini,vlrag-2d48e29519,single_hop,easy,extractive,0.0,0.0,0.0,0.0,0.0,0.046511627906976744,0.08823529411764706,0.04172366621067032,0.046511627906976744,0.0588235294117647,0.012311901504787955
gpt-4o-mini,vlrag-2d99689d30,legal_validity,medium,boolean,0.0,0.0,0.0,0.0,0.0,0.16666666666666669,0.0689655172413793,-0.09770114942528739,0.16666666666666669,0.0689655172413793,-0.09770114942528739
gpt-4o-mini,vlrag-2dea3f846e,single_hop,easy,boolean,0.0,0.0,0.0,0.0,0.0,0.16666666666666669,0.16666666666666669,0.0,0.16666666666666669,0.16666666666666669,0.0
gpt-4o-mini,vlrag-2e042d65c7,citation,easy,abstractive,0.0,0.0,0.0,0.0,0.0,0.0784313725490196,0.10909090909090907,0.030659536541889465,0.0784313725490196,0.10909090909090907,0.030659536541889465
gpt-4o-mini,vlrag-2fc29574e9,single_hop,easy,boolean,1.0,1.0,1.0,1.0,0.0,0.07407407407407407,0.05,-0.024074074074074067,0.07407407407407407,0.05,-0.024074074074074067
gpt-4o-mini,vlrag-2fc2ca8dd5,legal_validity,medium,abstractive,0.0,0.0,0.0,0.0,0.0,0.4631578947368421,0.46464646464646464,0.001488569909622539,0.2947368421052632,0.30303030303030304,0.008293460925039853
gpt-4o-mini,vlrag-34837c4024,legal_validity,easy,abstractive,0.0,0.0,0.0,0.0,0.0,0.3055555555555556,0.3098591549295775,0.004303599374021916,0.22222222222222224,0.22535211267605634,0.0031298904538341055
gpt-4o-mini,vlrag-3586e55420,citation,easy,abstractive,1.0,1.0,0.0,0.0,0.0,0.05970149253731344,0.057971014492753624,-0.0017304780445598147,0.05970149253731344,0.057971014492753624,-0.0017304780445598147
gpt-4o-mini,vlrag-3776f0eb92,single_hop,medium,boolean,1.0,1.0,0.0,0.0,0.0,0.04081632653061225,0.044444444444444446,0.0036281179138321976,0.04081632653061225,0.044444444444444446,0.0036281179138321976
gpt-4o-mini,vlrag-39529deded,single_hop,easy,boolean,0.0,0.0,1.0,1.0,0.0,0.0689655172413793,0.0625,-0.0064655172413792955,0.0689655172413793,0.0625,-0.0064655172413792955
gpt-4o-mini,vlrag-395e4fa2e5,single_hop,medium,extractive,1.0,1.0,0.0,0.0,0.0,0.6176470588235294,0.5384615384615384,-0.079185520361991,0.5294117647058824,0.4102564102564103,-0.11915535444947206
gpt-4o-mini,vlrag-39ef775a9f,multi_hop,medium,abstractive,0.0,0.0,0.0,0.0,0.0,0.6823529411764706,0.6823529411764706,0.0,0.47058823529411764,0.49411764705882355,0.02352941176470591
gpt-4o-mini,vlrag-3c8aedd844,legal_validity,easy,boolean,0.0,0.0,1.0,1.0,0.0,0.03278688524590164,0.034482758620689655,0.0016958733747880136,0.03278688524590164,0.034482758620689655,0.0016958733747880136
gpt-4o-mini,vlrag-3e8c04ac9e,legal_validity,easy,boolean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-4o-mini,vlrag-403cfe9c69,citation,easy,boolean,1.0,1.0,1.0,1.0,0.0,0.03076923076923077,0.037037037037037035,0.006267806267806264,0.03076923076923077,0.037037037037037035,0.006267806267806264
gpt-4o-mini,vlrag-41eb00badb,citation,easy,abstractive,0.0,0.0,0.0,0.0,0.0,0.1568627450980392,0.15384615384615385,-0.003016591251885359,0.1568627450980392,0.15384615384615385,-0.003016591251885359
gpt-4o-mini,vlrag-430decb685,citation,easy,extractive,1.0,1.0,0.0,0.0,0.0,0.34920634920634924,0.3548387096774193,0.005632360471070075,0.34920634920634924,0.3548387096774193,0.005632360471070075
gpt-4o-mini,vlrag-4367175a6f,citation,easy,boolean,0.0,0.0,1.0,1.0,0.0,0.04347826086956522,0.047619047619047616,0.004140786749482393,0.04347826086956522,0.047619047619047616,0.004140786749482393
gpt-4o-mini,vlrag-436bb223b0,single_hop,easy,boolean,1.0,1.0,1.0,1.0,0.0,0.047619047619047616,0.039999999999999994,-0.0076190476190476225,0.047619047619047616,0.039999999999999994,-0.0076190476190476225
gpt-4o-mini,vlrag-45f4114900,multi_hop,medium,abstractive,0.0,0.0,0.0,0.0,0.0,0.12121212121212123,0.12121212121212123,0.0,0.12121212121212123,0.12121212121212123,0.0
gpt-4o-mini,vlrag-46259cca4a,multi_hop,medium,boolean,0.5,0.5,1.0,1.0,0.0,0.038461538461538464,0.042553191489361694,0.0040916530278232305,0.038461538461538464,0.042553191489361694,0.0040916530278232305
gpt-4o-mini,vlrag-47d2ec76d2,single_hop,easy,abstractive,0.0,0.0,0.0,0.0,0.0,0.4473684210526316,0.37500000000000006,-0.07236842105263153,0.368421052631579,0.2916666666666667,-0.0767543859649123
gpt-4o-mini,vlrag-47f0fd280d,single_hop,easy,abstractive,0.0,0.0,0.0,0.0,0.0,0.07407407407407407,0.07633587786259541,0.0022618037885213382,0.07407407407407407,0.07633587786259541,0.0022618037885213382
gpt-4o-mini,vlrag-487fa5b1e1,single_hop,easy,abstractive,0.0,0.0,0.0,0.0,0.0,0.5897435897435898,0.5154639175257731,-0.07427967221781662,0.5897435897435898,0.5154639175257731,-0.07427967221781662
gpt-4o-mini,vlrag-48b48f3cc4,legal_validity,easy,boolean,1.0,1.0,0.0,1.0,1.0,0.16666666666666669,0.05128205128205127,-0.11538461538461542,0.16666666666666669,0.05128205128205127,-0.11538461538461542
gpt-4o-mini,vlrag-4a041d41ee,citation,easy,abstractive,1.0,1.0,0.0,0.0,0.0,0.1509433962264151,0.11428571428571428,-0.036657681940700806,0.1509433962264151,0.11428571428571428,-0.036657681940700806
gpt-4o-mini,vlrag-4a990c4e26,single_hop,easy,boolean,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-4o-mini,vlrag-4b392c0200,single_hop,easy,extractive,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.17777777777777778,0.17777777777777778,0.0
gpt-4o-mini,vlrag-4b65d1820b,multi_hop,medium,abstractive,0.0,0.0,0.0,0.0,0.0,0.4878048780487805,0.3673469387755102,-0.12045793927327025,0.34146341463414637,0.2448979591836735,-0.09656545545047288
gpt-4o-mini,vlrag-4bbe0a2986,citation,easy,boolean,0.0,0.0,1.0,1.0,0.0,0.06666666666666667,0.06060606060606061,-0.006060606060606058,0.06666666666666667,0.06060606060606061,-0.006060606060606058
gpt-4o-mini,vlrag-4c2202e5d8,citation,easy,abstractive,1.0,1.0,0.0,0.0,0.0,0.36363636363636365,0.16363636363636364,-0.2,0.36363636363636365,0.1272727272727273,-0.23636363636363636
gpt-4o-mini,vlrag-4c32915bdf,single_hop,medium,boolean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-4o-mini,vlrag-4ca09b3024,single_hop,easy,boolean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-4o-mini,vlrag-4d27996130,single_hop,easy,abstractive,1.0,1.0,0.0,0.0,0.0,0.5151515151515151,0.5151515151515151,0.0,0.3939393939393939,0.3939393939393939,0.0
gpt-4o-mini,vlrag-4dd098a4de,single_hop,easy,extractive,0.0,0.0,0.0,0.0,0.0,0.37500000000000006,0.17142857142857143,-0.20357142857142863,0.37500000000000006,0.17142857142857143,-0.20357142857142863
gpt-4o-mini,vlrag-4df54f8510,legal_validity,medium,boolean,1.0,1.0,1.0,1.0,0.0,0.042553191489361694,0.042553191489361694,0.0,0.042553191489361694,0.042553191489361694,0.0
gpt-4o-mini,vlrag-4edb9c9ed4,citation,easy,abstractive,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.6428571428571428,0.0714285714285714,0.5274725274725275,0.5952380952380951,0.06776556776556764
gpt-4o-mini,vlrag-4ee85f41f0,cross_document,medium,abstractive,0.5,0.5,0.0,0.0,0.0,0.4142857142857143,0.4225352112676057,0.008249496981891369,0.28571428571428575,0.2535211267605634,-0.03219315895372238
gpt-4o-mini,vlrag-500483712d,single_hop,easy,abstractive,0.0,0.0,0.0,0.0,0.0,0.6131386861313868,0.5903614457831325,-0.022777240348254235,0.40875912408759124,0.4216867469879518,0.012927622900360536
gpt-4o-mini,vlrag-5014e70c07,single_hop,easy,abstractive,1.0,1.0,0.0,0.0,0.0,0.6990291262135923,0.6990291262135923,0.0,0.6407766990291263,0.6407766990291263,0.0
gpt-4o-mini,vlrag-50501fc46a,citation,easy,extractive,1.0,1.0,0.0,0.0,0.0,0.29411764705882354,0.29411764705882354,0.0,0.29411764705882354,0.29411764705882354,0.0
gpt-4o-mini,vlrag-5084d77826,legal_validity,medium,abstractive,1.0,1.0,0.0,0.0,0.0,0.038461538461538464,0.43956043956043955,0.4010989010989011,0.038461538461538464,0.2857142857142857,0.24725274725274723
gpt-4o-mini,vlrag-50e8199f0c,single_hop,easy,boolean,0.0,0.0,1.0,1.0,0.0,0.038461538461538464,0.038461538461538464,0.0,0.038461538461538464,0.038461538461538464,0.0
gpt-4o-mini,vlrag-51657210e8,single_hop,easy,abstractive,1.0,1.0,0.0,0.0,0.0,0.13333333333333333,0.13333333333333333,0.0,0.08888888888888888,0.08888888888888888,0.0
gpt-4o-mini,vlrag-516dd29031,multi_hop,medium,abstractive,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.33766233766233766,0.3170731707317073,-0.020589166930630343,0.1818181818181818,0.17073170731707318,-0.011086474501108612
gpt-4o-mini,vlrag-5199ca57cd,citation,easy,abstractive,1.0,1.0,0.0,0.0,0.0,0.5866666666666667,0.6588235294117647,0.07215686274509803,0.5866666666666667,0.5647058823529411,-0.021960784313725612
gpt-4o-mini,vlrag-519edd821a,citation,easy,abstractive,1.0,1.0,0.0,0.0,0.0,0.6944444444444444,0.6250000000000001,-0.06944444444444431,0.6944444444444444,0.6250000000000001,-0.06944444444444431
gpt-4o-mini,vlrag-5213eaed2b,citation,easy,abstractive,1.0,1.0,0.0,0.0,0.0,0.1904761904761905,0.1904761904761905,0.0,0.1904761904761905,0.1904761904761905,0.0
gpt-4o-mini,vlrag-556f219a82,single_hop,easy,extractive,0.0,0.0,0.0,0.0,0.0,0.10810810810810811,0.06779661016949154,-0.040311497938616575,0.10810810810810811,0.06779661016949154,-0.040311497938616575
gpt-4o-mini,vlrag-56ecd77824,single_hop,easy,abstractive,0.0,0.0,0.0,0.0,0.0,0.1904761904761905,0.1904761904761905,0.0,0.1904761904761905,0.1904761904761905,0.0
gpt-4o-mini,vlrag-5a28eaf0fb,single_hop,easy,abstractive,0.0,0.0,0.0,0.0,0.0,0.24242424242424243,0.23880597014925375,-0.0036182722749886764,0.24242424242424243,0.23880597014925375,-0.0036182722749886764
gpt-4o-mini,vlrag-5a492376bd,multi_hop,medium,boolean,0.5,0.5,1.0,1.0,0.0,0.05405405405405406,0.04166666666666667,-0.012387387387387386,0.05405405405405406,0.04166666666666667,-0.012387387387387386
gpt-4o-mini,vlrag-5b20bcd0a2,single_hop,easy,extractive,1.0,1.0,0.0,0.0,0.0,0.9846153846153847,0.9846153846153847,0.0,0.9846153846153847,0.9846153846153847,0.0
gpt-4o-mini,vlrag-5c4a8dfb1a,citation,easy,boolean,0.0,0.0,1.0,1.0,0.0,0.03333333333333333,0.03333333333333333,0.0,0.03333333333333333,0.03333333333333333,0.0
gpt-4o-mini,vlrag-5c6a1b61fc,multi_hop,medium,boolean,1.0,1.0,1.0,1.0,0.0,0.031746031746031744,0.03225806451612903,0.0005120327700972871,0.031746031746031744,0.03225806451612903,0.0005120327700972871
gpt-4o-mini,vlrag-5ca3350cae,single_hop,medium,abstractive,0.0,0.0,0.0,0.0,0.0,0.5675675675675675,0.5675675675675675,0.0,0.4594594594594595,0.4594594594594595,0.0
gpt-4o-mini,vlrag-5cda1ff266,citation,easy,abstractive,0.0,0.0,0.0,0.0,0.0,0.27480916030534347,0.27480916030534347,0.0,0.18320610687022898,0.18320610687022898,0.0
gpt-4o-mini,vlrag-60b4a6b766,single_hop,medium,abstractive,0.0,0.0,0.0,0.0,0.0,0.273972602739726,0.2335766423357664,-0.040395960403959624,0.273972602739726,0.18978102189781024,-0.08419158084191578
gpt-4o-mini,vlrag-61535eac04,citation,easy,abstractive,0.0,0.0,0.0,0.0,0.0,0.12987012987012986,0.12987012987012986,0.0,0.0779220779220779,0.0779220779220779,0.0
gpt-4o-mini,vlrag-62073cb3a6,legal_validity,easy,extractive,1.0,1.0,0.0,0.0,0.0,0.9256198347107438,0.9256198347107438,0.0,0.9256198347107438,0.9256198347107438,0.0
gpt-4o-mini,vlrag-63a7d1a7cf,citation,easy,extractive,0.0,0.0,0.0,0.0,0.0,0.07692307692307691,0.06349206349206349,-0.013431013431013425,0.07692307692307691,0.06349206349206349,-0.013431013431013425
gpt-4o-mini,vlrag-643e0fe13b,single_hop,medium,abstractive,0.0,0.0,0.0,0.0,0.0,0.25490196078431376,0.2650602409638554,0.010158280179541623,0.13725490196078433,0.1686746987951807,0.031419796834396385
gpt-4o-mini,vlrag-6509bb01ad,single_hop,easy,extractive,1.0,1.0,0.0,0.0,0.0,0.1702127659574468,0.1702127659574468,0.0,0.1702127659574468,0.1702127659574468,0.0
gpt-4o-mini,vlrag-65515d6803,single_hop,easy,boolean,1.0,1.0,1.0,1.0,0.0,0.034482758620689655,0.034482758620689655,0.0,0.034482758620689655,0.034482758620689655,0.0
gpt-4o-mini,vlrag-65539bbc64,single_hop,easy,abstractive,1.0,1.0,0.0,0.0,0.0,0.37662337662337664,0.3741935483870968,-0.0024298282362798518,0.16883116883116883,0.16774193548387098,-0.0010892333472978522
gpt-4o-mini,vlrag-667a015ee4,citation,easy,abstractive,1.0,1.0,0.0,0.0,0.0,0.84375,0.7105263157894737,-0.13322368421052633,0.65625,0.5526315789473685,-0.10361842105263153
gpt-4o-mini,vlrag-676ad4aad5,single_hop,medium,abstractive,0.0,0.0,0.0,0.0,0.0,0.2790697674418604,0.2790697674418604,0.0,0.23255813953488377,0.23255813953488377,0.0
gpt-4o-mini,vlrag-6884f64ffe,single_hop,easy,extractive,1.0,1.0,0.0,0.0,0.0,0.967741935483871,0.967741935483871,0.0,0.967741935483871,0.967741935483871,0.0
gpt-4o-mini,vlrag-68c0b49fd7,legal_validity,easy,abstractive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-4o-mini,vlrag-68ec3438a7,single_hop,medium,abstractive,1.0,1.0,0.0,0.0,0.0,0.3125,0.3191489361702127,0.006648936170212727,0.28124999999999994,0.2872340425531915,0.005984042553191571
gpt-4o-mini,vlrag-690e673596,single_hop,easy,boolean,1.0,1.0,0.0,0.0,0.0,0.044444444444444446,0.044444444444444446,0.0,0.044444444444444446,0.044444444444444446,0.0
gpt-4o-mini,vlrag-6972ddd02a,single_hop,easy,abstractive,1.0,1.0,0.0,0.0,0.0,0.4090909090909091,0.36363636363636365,-0.04545454545454547,0.36363636363636365,0.3232323232323232,-0.04040404040404044
gpt-4o-mini,vlrag-69965240a8,citation,easy,extractive,0.0,0.0,0.0,0.0,0.0,0.18918918918918917,0.18918918918918917,0.0,0.16216216216216217,0.16216216216216217,0.0
gpt-4o-mini,vlrag-69dbbcd3df,citation,easy,abstractive,1.0,1.0,0.0,0.0,0.0,0.78125,0.5048543689320388,-0.27639563106796117,0.78125,0.5048543689320388,-0.27639563106796117
gpt-4o-mini,vlrag-6a345299b8,single_hop,easy,abstractive,0.0,0.0,0.0,0.0,0.0,0.2962962962962963,0.3357664233576642,0.03947012706136793,0.2222222222222222,0.2773722627737226,0.05515004055150041
gpt-4o-mini,vlrag-6b504cea3c,citation,easy,abstractive,1.0,1.0,0.0,0.0,0.0,0.1386138613861386,0.23076923076923075,0.09215536938309216,0.1386138613861386,0.15384615384615383,0.015232292460015229
